LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
AUS,FBORNEMP,TOT,PC_FBORNPOP,2007,68.6
AUS,FBORNEMP,TOT,PC_FBORNPOP,2008,69.8
AUS,FBORNEMP,TOT,PC_FBORNPOP,2009,68.3
AUS,FBORNEMP,TOT,PC_FBORNPOP,2010,69.2
AUS,FBORNEMP,TOT,PC_FBORNPOP,2011,70.5
AUS,FBORNEMP,TOT,PC_FBORNPOP,2012,70
AUS,FBORNEMP,TOT,PC_FBORNPOP,2013,69.7
AUS,FBORNEMP,TOT,PC_FBORNPOP,2014,69.6
AUS,FBORNEMP,TOT,PC_FBORNPOP,2015,69.9
AUS,FBORNEMP,TOT,PC_FBORNPOP,2016,70.3
AUS,FBORNEMP,TOT,PC_FBORNPOP,2017,70.8
AUT,FBORNEMP,TOT,PC_FBORNPOP,2007,65
AUT,FBORNEMP,TOT,PC_FBORNPOP,2008,65.1
AUT,FBORNEMP,TOT,PC_FBORNPOP,2009,64.7
AUT,FBORNEMP,TOT,PC_FBORNPOP,2010,66.3
AUT,FBORNEMP,TOT,PC_FBORNPOP,2011,66.7
AUT,FBORNEMP,TOT,PC_FBORNPOP,2012,65.6
AUT,FBORNEMP,TOT,PC_FBORNPOP,2013,65.2
AUT,FBORNEMP,TOT,PC_FBORNPOP,2014,64.9
AUT,FBORNEMP,TOT,PC_FBORNPOP,2015,64.7
AUT,FBORNEMP,TOT,PC_FBORNPOP,2016,64.6
AUT,FBORNEMP,TOT,PC_FBORNPOP,2017,65.6
BEL,FBORNEMP,TOT,PC_FBORNPOP,2007,50.9
BEL,FBORNEMP,TOT,PC_FBORNPOP,2008,54
BEL,FBORNEMP,TOT,PC_FBORNPOP,2009,52.2
BEL,FBORNEMP,TOT,PC_FBORNPOP,2010,53
BEL,FBORNEMP,TOT,PC_FBORNPOP,2011,52.6
BEL,FBORNEMP,TOT,PC_FBORNPOP,2012,52
BEL,FBORNEMP,TOT,PC_FBORNPOP,2013,52.7
BEL,FBORNEMP,TOT,PC_FBORNPOP,2014,52.8
BEL,FBORNEMP,TOT,PC_FBORNPOP,2015,53.3
BEL,FBORNEMP,TOT,PC_FBORNPOP,2016,54.1
BEL,FBORNEMP,TOT,PC_FBORNPOP,2017,56.5
CAN,FBORNEMP,TOT,PC_FBORNPOP,2008,70.8
CAN,FBORNEMP,TOT,PC_FBORNPOP,2009,68.5
CAN,FBORNEMP,TOT,PC_FBORNPOP,2010,68.8
CAN,FBORNEMP,TOT,PC_FBORNPOP,2011,69
CAN,FBORNEMP,TOT,PC_FBORNPOP,2012,70.1
CAN,FBORNEMP,TOT,PC_FBORNPOP,2013,70.6
CAN,FBORNEMP,TOT,PC_FBORNPOP,2014,70.1
CAN,FBORNEMP,TOT,PC_FBORNPOP,2015,70.9
CAN,FBORNEMP,TOT,PC_FBORNPOP,2016,71.7
CAN,FBORNEMP,TOT,PC_FBORNPOP,2017,72.8
CZE,FBORNEMP,TOT,PC_FBORNPOP,2007,67.3
CZE,FBORNEMP,TOT,PC_FBORNPOP,2008,66.4
CZE,FBORNEMP,TOT,PC_FBORNPOP,2009,65.8
CZE,FBORNEMP,TOT,PC_FBORNPOP,2010,68.1
CZE,FBORNEMP,TOT,PC_FBORNPOP,2011,67.8
CZE,FBORNEMP,TOT,PC_FBORNPOP,2012,67.3
CZE,FBORNEMP,TOT,PC_FBORNPOP,2013,69.8
CZE,FBORNEMP,TOT,PC_FBORNPOP,2014,71.8
CZE,FBORNEMP,TOT,PC_FBORNPOP,2015,71.1
CZE,FBORNEMP,TOT,PC_FBORNPOP,2016,73.5
CZE,FBORNEMP,TOT,PC_FBORNPOP,2017,77.5
DNK,FBORNEMP,TOT,PC_FBORNPOP,2007,62.5
DNK,FBORNEMP,TOT,PC_FBORNPOP,2008,66.1
DNK,FBORNEMP,TOT,PC_FBORNPOP,2009,67.9
DNK,FBORNEMP,TOT,PC_FBORNPOP,2010,63.6
DNK,FBORNEMP,TOT,PC_FBORNPOP,2011,61.7
DNK,FBORNEMP,TOT,PC_FBORNPOP,2012,61.1
DNK,FBORNEMP,TOT,PC_FBORNPOP,2013,62.9
DNK,FBORNEMP,TOT,PC_FBORNPOP,2014,63.9
DNK,FBORNEMP,TOT,PC_FBORNPOP,2015,63.6
DNK,FBORNEMP,TOT,PC_FBORNPOP,2016,66.8
DNK,FBORNEMP,TOT,PC_FBORNPOP,2017,65
FIN,FBORNEMP,TOT,PC_FBORNPOP,2007,63.5
FIN,FBORNEMP,TOT,PC_FBORNPOP,2008,65.5
FIN,FBORNEMP,TOT,PC_FBORNPOP,2009,64.4
FIN,FBORNEMP,TOT,PC_FBORNPOP,2010,64.4
FIN,FBORNEMP,TOT,PC_FBORNPOP,2011,62.1
FIN,FBORNEMP,TOT,PC_FBORNPOP,2012,63.8
FIN,FBORNEMP,TOT,PC_FBORNPOP,2013,63.4
FIN,FBORNEMP,TOT,PC_FBORNPOP,2014,60.7
FIN,FBORNEMP,TOT,PC_FBORNPOP,2015,59.3
FIN,FBORNEMP,TOT,PC_FBORNPOP,2016,59
FIN,FBORNEMP,TOT,PC_FBORNPOP,2017,60.3
FRA,FBORNEMP,TOT,PC_FBORNPOP,2007,58.7
FRA,FBORNEMP,TOT,PC_FBORNPOP,2008,59.5
FRA,FBORNEMP,TOT,PC_FBORNPOP,2009,57.3
FRA,FBORNEMP,TOT,PC_FBORNPOP,2010,57.9
FRA,FBORNEMP,TOT,PC_FBORNPOP,2011,57.3
FRA,FBORNEMP,TOT,PC_FBORNPOP,2012,57.6
FRA,FBORNEMP,TOT,PC_FBORNPOP,2013,56.9
FRA,FBORNEMP,TOT,PC_FBORNPOP,2014,56.4
FRA,FBORNEMP,TOT,PC_FBORNPOP,2015,55.5
FRA,FBORNEMP,TOT,PC_FBORNPOP,2016,55.3
FRA,FBORNEMP,TOT,PC_FBORNPOP,2017,56.6
DEU,FBORNEMP,TOT,PC_FBORNPOP,2007,60.2
DEU,FBORNEMP,TOT,PC_FBORNPOP,2008,62.9
DEU,FBORNEMP,TOT,PC_FBORNPOP,2009,62.1
DEU,FBORNEMP,TOT,PC_FBORNPOP,2010,65
DEU,FBORNEMP,TOT,PC_FBORNPOP,2011,66.9
DEU,FBORNEMP,TOT,PC_FBORNPOP,2012,68
DEU,FBORNEMP,TOT,PC_FBORNPOP,2013,68.3
DEU,FBORNEMP,TOT,PC_FBORNPOP,2014,68.4
DEU,FBORNEMP,TOT,PC_FBORNPOP,2015,68.4
DEU,FBORNEMP,TOT,PC_FBORNPOP,2016,68
DEU,FBORNEMP,TOT,PC_FBORNPOP,2017,68.1
GRC,FBORNEMP,TOT,PC_FBORNPOP,2007,66.6
GRC,FBORNEMP,TOT,PC_FBORNPOP,2008,67.5
GRC,FBORNEMP,TOT,PC_FBORNPOP,2009,66
GRC,FBORNEMP,TOT,PC_FBORNPOP,2010,64
GRC,FBORNEMP,TOT,PC_FBORNPOP,2011,58.4
GRC,FBORNEMP,TOT,PC_FBORNPOP,2012,49.6
GRC,FBORNEMP,TOT,PC_FBORNPOP,2013,47.6
GRC,FBORNEMP,TOT,PC_FBORNPOP,2014,50.3
GRC,FBORNEMP,TOT,PC_FBORNPOP,2015,52.2
GRC,FBORNEMP,TOT,PC_FBORNPOP,2016,53.7
GRC,FBORNEMP,TOT,PC_FBORNPOP,2017,52.8
HUN,FBORNEMP,TOT,PC_FBORNPOP,2007,64.5
HUN,FBORNEMP,TOT,PC_FBORNPOP,2008,64.7
HUN,FBORNEMP,TOT,PC_FBORNPOP,2009,65.5
HUN,FBORNEMP,TOT,PC_FBORNPOP,2010,65.5
HUN,FBORNEMP,TOT,PC_FBORNPOP,2011,62.1
HUN,FBORNEMP,TOT,PC_FBORNPOP,2012,66.6
HUN,FBORNEMP,TOT,PC_FBORNPOP,2013,67.8
HUN,FBORNEMP,TOT,PC_FBORNPOP,2014,70.4
HUN,FBORNEMP,TOT,PC_FBORNPOP,2015,71.1
HUN,FBORNEMP,TOT,PC_FBORNPOP,2016,73.8
HUN,FBORNEMP,TOT,PC_FBORNPOP,2017,73.7
ISL,FBORNEMP,TOT,PC_FBORNPOP,2007,85.5
ISL,FBORNEMP,TOT,PC_FBORNPOP,2008,81.2
ISL,FBORNEMP,TOT,PC_FBORNPOP,2009,77
ISL,FBORNEMP,TOT,PC_FBORNPOP,2010,74.7
ISL,FBORNEMP,TOT,PC_FBORNPOP,2011,75.8
ISL,FBORNEMP,TOT,PC_FBORNPOP,2012,79
ISL,FBORNEMP,TOT,PC_FBORNPOP,2013,79.9
ISL,FBORNEMP,TOT,PC_FBORNPOP,2014,81.9
ISL,FBORNEMP,TOT,PC_FBORNPOP,2015,80.7
ISL,FBORNEMP,TOT,PC_FBORNPOP,2016,86.6
ISL,FBORNEMP,TOT,PC_FBORNPOP,2017,88.1
IRL,FBORNEMP,TOT,PC_FBORNPOP,2007,73.1
IRL,FBORNEMP,TOT,PC_FBORNPOP,2008,71.3
IRL,FBORNEMP,TOT,PC_FBORNPOP,2009,62.2
IRL,FBORNEMP,TOT,PC_FBORNPOP,2010,59.3
IRL,FBORNEMP,TOT,PC_FBORNPOP,2011,59
IRL,FBORNEMP,TOT,PC_FBORNPOP,2012,58.8
IRL,FBORNEMP,TOT,PC_FBORNPOP,2013,60.5
IRL,FBORNEMP,TOT,PC_FBORNPOP,2014,61.2
IRL,FBORNEMP,TOT,PC_FBORNPOP,2015,62.6
IRL,FBORNEMP,TOT,PC_FBORNPOP,2016,65.1
IRL,FBORNEMP,TOT,PC_FBORNPOP,2017,69
ITA,FBORNEMP,TOT,PC_FBORNPOP,2007,65.9
ITA,FBORNEMP,TOT,PC_FBORNPOP,2008,65.1
ITA,FBORNEMP,TOT,PC_FBORNPOP,2009,62.8
ITA,FBORNEMP,TOT,PC_FBORNPOP,2010,61.9
ITA,FBORNEMP,TOT,PC_FBORNPOP,2011,61.5
ITA,FBORNEMP,TOT,PC_FBORNPOP,2012,60
ITA,FBORNEMP,TOT,PC_FBORNPOP,2013,58.1
ITA,FBORNEMP,TOT,PC_FBORNPOP,2014,58.4
ITA,FBORNEMP,TOT,PC_FBORNPOP,2015,58.6
ITA,FBORNEMP,TOT,PC_FBORNPOP,2016,59.2
ITA,FBORNEMP,TOT,PC_FBORNPOP,2017,60
LUX,FBORNEMP,TOT,PC_FBORNPOP,2007,71.1
LUX,FBORNEMP,TOT,PC_FBORNPOP,2008,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2009,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2010,70.4
LUX,FBORNEMP,TOT,PC_FBORNPOP,2011,69.8
LUX,FBORNEMP,TOT,PC_FBORNPOP,2012,71.3
LUX,FBORNEMP,TOT,PC_FBORNPOP,2013,71.5
LUX,FBORNEMP,TOT,PC_FBORNPOP,2014,72
LUX,FBORNEMP,TOT,PC_FBORNPOP,2015,69.5
LUX,FBORNEMP,TOT,PC_FBORNPOP,2016,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2017,70.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2007,54.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2008,51.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2009,48.2
MEX,FBORNEMP,TOT,PC_FBORNPOP,2010,49.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2011,53
MEX,FBORNEMP,TOT,PC_FBORNPOP,2012,53.6
MEX,FBORNEMP,TOT,PC_FBORNPOP,2013,54
MEX,FBORNEMP,TOT,PC_FBORNPOP,2014,53.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2015,51.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2016,55
MEX,FBORNEMP,TOT,PC_FBORNPOP,2017,52.2
NLD,FBORNEMP,TOT,PC_FBORNPOP,2007,62.4
NLD,FBORNEMP,TOT,PC_FBORNPOP,2008,65.7
NLD,FBORNEMP,TOT,PC_FBORNPOP,2009,64.5
NLD,FBORNEMP,TOT,PC_FBORNPOP,2010,64.3
NLD,FBORNEMP,TOT,PC_FBORNPOP,2011,64
NLD,FBORNEMP,TOT,PC_FBORNPOP,2012,63.1
NLD,FBORNEMP,TOT,PC_FBORNPOP,2013,61.2
NLD,FBORNEMP,TOT,PC_FBORNPOP,2014,61.4
NLD,FBORNEMP,TOT,PC_FBORNPOP,2015,61.1
NLD,FBORNEMP,TOT,PC_FBORNPOP,2016,62
NLD,FBORNEMP,TOT,PC_FBORNPOP,2017,63
NZL,FBORNEMP,TOT,PC_FBORNPOP,2007,70.4
NZL,FBORNEMP,TOT,PC_FBORNPOP,2008,70
NZL,FBORNEMP,TOT,PC_FBORNPOP,2009,68.8
NZL,FBORNEMP,TOT,PC_FBORNPOP,2010,68.3
NZL,FBORNEMP,TOT,PC_FBORNPOP,2011,70.3
NZL,FBORNEMP,TOT,PC_FBORNPOP,2012,70.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2013,71.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2014,71.9
NZL,FBORNEMP,TOT,PC_FBORNPOP,2015,73.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2016,75
NOR,FBORNEMP,TOT,PC_FBORNPOP,2007,69.9
NOR,FBORNEMP,TOT,PC_FBORNPOP,2008,74
NOR,FBORNEMP,TOT,PC_FBORNPOP,2009,68.7
NOR,FBORNEMP,TOT,PC_FBORNPOP,2010,69.4
NOR,FBORNEMP,TOT,PC_FBORNPOP,2011,68.7
NOR,FBORNEMP,TOT,PC_FBORNPOP,2012,70.9
NOR,FBORNEMP,TOT,PC_FBORNPOP,2013,70.3
NOR,FBORNEMP,TOT,PC_FBORNPOP,2014,69.8
NOR,FBORNEMP,TOT,PC_FBORNPOP,2015,68.6
NOR,FBORNEMP,TOT,PC_FBORNPOP,2016,69.2
NOR,FBORNEMP,TOT,PC_FBORNPOP,2017,69.3
POL,FBORNEMP,TOT,PC_FBORNPOP,2007,36.8
POL,FBORNEMP,TOT,PC_FBORNPOP,2008,43.5
POL,FBORNEMP,TOT,PC_FBORNPOP,2009,45.5
POL,FBORNEMP,TOT,PC_FBORNPOP,2010,50.4
POL,FBORNEMP,TOT,PC_FBORNPOP,2011,55.2
POL,FBORNEMP,TOT,PC_FBORNPOP,2012,61.9
POL,FBORNEMP,TOT,PC_FBORNPOP,2013,59.2
POL,FBORNEMP,TOT,PC_FBORNPOP,2014,63
POL,FBORNEMP,TOT,PC_FBORNPOP,2015,60.7
POL,FBORNEMP,TOT,PC_FBORNPOP,2016,62.6
POL,FBORNEMP,TOT,PC_FBORNPOP,2017,69.9
PRT,FBORNEMP,TOT,PC_FBORNPOP,2007,73.1
PRT,FBORNEMP,TOT,PC_FBORNPOP,2008,74
PRT,FBORNEMP,TOT,PC_FBORNPOP,2009,69.8
PRT,FBORNEMP,TOT,PC_FBORNPOP,2010,69.1
PRT,FBORNEMP,TOT,PC_FBORNPOP,2011,68.7
PRT,FBORNEMP,TOT,PC_FBORNPOP,2012,66.4
PRT,FBORNEMP,TOT,PC_FBORNPOP,2013,62.6
PRT,FBORNEMP,TOT,PC_FBORNPOP,2014,66.6
PRT,FBORNEMP,TOT,PC_FBORNPOP,2015,68
PRT,FBORNEMP,TOT,PC_FBORNPOP,2016,70.4
PRT,FBORNEMP,TOT,PC_FBORNPOP,2017,74.3
SVK,FBORNEMP,TOT,PC_FBORNPOP,2007,66
SVK,FBORNEMP,TOT,PC_FBORNPOP,2008,68.1
SVK,FBORNEMP,TOT,PC_FBORNPOP,2009,60.6
SVK,FBORNEMP,TOT,PC_FBORNPOP,2010,56.5
SVK,FBORNEMP,TOT,PC_FBORNPOP,2011,59.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2012,63.7
SVK,FBORNEMP,TOT,PC_FBORNPOP,2013,66.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2014,66.1
SVK,FBORNEMP,TOT,PC_FBORNPOP,2015,58.4
SVK,FBORNEMP,TOT,PC_FBORNPOP,2016,64.7
SVK,FBORNEMP,TOT,PC_FBORNPOP,2017,69.8
ESP,FBORNEMP,TOT,PC_FBORNPOP,2007,70.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2008,65.8
ESP,FBORNEMP,TOT,PC_FBORNPOP,2009,57.4
ESP,FBORNEMP,TOT,PC_FBORNPOP,2010,55.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2011,55.1
ESP,FBORNEMP,TOT,PC_FBORNPOP,2012,52.1
ESP,FBORNEMP,TOT,PC_FBORNPOP,2013,50.7
ESP,FBORNEMP,TOT,PC_FBORNPOP,2014,52.3
ESP,FBORNEMP,TOT,PC_FBORNPOP,2015,55.2
ESP,FBORNEMP,TOT,PC_FBORNPOP,2016,57.6
ESP,FBORNEMP,TOT,PC_FBORNPOP,2017,59.6
SWE,FBORNEMP,TOT,PC_FBORNPOP,2007,63.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2008,64
SWE,FBORNEMP,TOT,PC_FBORNPOP,2009,62.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2010,61.2
SWE,FBORNEMP,TOT,PC_FBORNPOP,2011,62.5
SWE,FBORNEMP,TOT,PC_FBORNPOP,2012,62.8
SWE,FBORNEMP,TOT,PC_FBORNPOP,2013,62.9
SWE,FBORNEMP,TOT,PC_FBORNPOP,2014,63.5
SWE,FBORNEMP,TOT,PC_FBORNPOP,2015,64.1
SWE,FBORNEMP,TOT,PC_FBORNPOP,2016,64.9
SWE,FBORNEMP,TOT,PC_FBORNPOP,2017,66.3
CHE,FBORNEMP,TOT,PC_FBORNPOP,2007,73.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2008,75.5
CHE,FBORNEMP,TOT,PC_FBORNPOP,2009,75.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2010,74.6
CHE,FBORNEMP,TOT,PC_FBORNPOP,2011,75.7
CHE,FBORNEMP,TOT,PC_FBORNPOP,2012,76.1
CHE,FBORNEMP,TOT,PC_FBORNPOP,2013,75.9
CHE,FBORNEMP,TOT,PC_FBORNPOP,2014,76.3
CHE,FBORNEMP,TOT,PC_FBORNPOP,2015,76.5
CHE,FBORNEMP,TOT,PC_FBORNPOP,2016,76.6
CHE,FBORNEMP,TOT,PC_FBORNPOP,2017,75.8
TUR,FBORNEMP,TOT,PC_FBORNPOP,2008,48.8
TUR,FBORNEMP,TOT,PC_FBORNPOP,2009,47.2
TUR,FBORNEMP,TOT,PC_FBORNPOP,2010,49.5
TUR,FBORNEMP,TOT,PC_FBORNPOP,2011,49.7
TUR,FBORNEMP,TOT,PC_FBORNPOP,2012,46.1
TUR,FBORNEMP,TOT,PC_FBORNPOP,2013,46.6
TUR,FBORNEMP,TOT,PC_FBORNPOP,2014,46.3
TUR,FBORNEMP,TOT,PC_FBORNPOP,2015,44.4
TUR,FBORNEMP,TOT,PC_FBORNPOP,2016,43.9
TUR,FBORNEMP,TOT,PC_FBORNPOP,2017,46.2
GBR,FBORNEMP,TOT,PC_FBORNPOP,2007,66.4
GBR,FBORNEMP,TOT,PC_FBORNPOP,2008,67.9
GBR,FBORNEMP,TOT,PC_FBORNPOP,2009,66.6
GBR,FBORNEMP,TOT,PC_FBORNPOP,2010,66.8
GBR,FBORNEMP,TOT,PC_FBORNPOP,2011,66.7
GBR,FBORNEMP,TOT,PC_FBORNPOP,2012,66.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2013,67.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2014,69.4
GBR,FBORNEMP,TOT,PC_FBORNPOP,2015,70.5
GBR,FBORNEMP,TOT,PC_FBORNPOP,2016,71.9
GBR,FBORNEMP,TOT,PC_FBORNPOP,2017,72.5
USA,FBORNEMP,TOT,PC_FBORNPOP,2007,71.8
USA,FBORNEMP,TOT,PC_FBORNPOP,2008,70.8
USA,FBORNEMP,TOT,PC_FBORNPOP,2009,67.7
USA,FBORNEMP,TOT,PC_FBORNPOP,2010,67.6
USA,FBORNEMP,TOT,PC_FBORNPOP,2011,67.5
USA,FBORNEMP,TOT,PC_FBORNPOP,2012,67.7
USA,FBORNEMP,TOT,PC_FBORNPOP,2013,68.4
USA,FBORNEMP,TOT,PC_FBORNPOP,2014,69.1
USA,FBORNEMP,TOT,PC_FBORNPOP,2015,69.2
USA,FBORNEMP,TOT,PC_FBORNPOP,2016,70
USA,FBORNEMP,TOT,PC_FBORNPOP,2017,71
CHL,FBORNEMP,TOT,PC_FBORNPOP,2009,64.7
CHL,FBORNEMP,TOT,PC_FBORNPOP,2011,68.1
CHL,FBORNEMP,TOT,PC_FBORNPOP,2013,74.2
CHL,FBORNEMP,TOT,PC_FBORNPOP,2015,73.9
EST,FBORNEMP,TOT,PC_FBORNPOP,2007,74.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2008,74.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2009,67.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2010,59.1
EST,FBORNEMP,TOT,PC_FBORNPOP,2011,63.6
EST,FBORNEMP,TOT,PC_FBORNPOP,2012,67.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2013,68.4
EST,FBORNEMP,TOT,PC_FBORNPOP,2014,68
EST,FBORNEMP,TOT,PC_FBORNPOP,2015,70.2
EST,FBORNEMP,TOT,PC_FBORNPOP,2016,70.8
EST,FBORNEMP,TOT,PC_FBORNPOP,2017,71.7
ISR,FBORNEMP,TOT,PC_FBORNPOP,2012,74.8
ISR,FBORNEMP,TOT,PC_FBORNPOP,2013,75.8
ISR,FBORNEMP,TOT,PC_FBORNPOP,2014,77.4
ISR,FBORNEMP,TOT,PC_FBORNPOP,2015,78
ISR,FBORNEMP,TOT,PC_FBORNPOP,2016,78.6
ISR,FBORNEMP,TOT,PC_FBORNPOP,2017,78.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2007,67.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2008,68.4
SVN,FBORNEMP,TOT,PC_FBORNPOP,2009,66.1
SVN,FBORNEMP,TOT,PC_FBORNPOP,2010,65.3
SVN,FBORNEMP,TOT,PC_FBORNPOP,2011,61.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2012,63.9
SVN,FBORNEMP,TOT,PC_FBORNPOP,2013,60.5
SVN,FBORNEMP,TOT,PC_FBORNPOP,2014,58.2
SVN,FBORNEMP,TOT,PC_FBORNPOP,2015,61.3
SVN,FBORNEMP,TOT,PC_FBORNPOP,2016,62.4
SVN,FBORNEMP,TOT,PC_FBORNPOP,2017,66.3
EU27,FBORNEMP,TOT,PC_FBORNPOP,2007,63.8
EU27,FBORNEMP,TOT,PC_FBORNPOP,2008,64.4
EU27,FBORNEMP,TOT,PC_FBORNPOP,2009,61.8
EU27,FBORNEMP,TOT,PC_FBORNPOP,2010,62
EU27,FBORNEMP,TOT,PC_FBORNPOP,2011,62.2
EU27,FBORNEMP,TOT,PC_FBORNPOP,2012,61.4
OECD,FBORNEMP,TOT,PC_FBORNPOP,2007,66
OECD,FBORNEMP,TOT,PC_FBORNPOP,2008,66
OECD,FBORNEMP,TOT,PC_FBORNPOP,2009,63
OECD,FBORNEMP,TOT,PC_FBORNPOP,2010,63
OECD,FBORNEMP,TOT,PC_FBORNPOP,2011,64
OECD,FBORNEMP,TOT,PC_FBORNPOP,2012,64
OECD,FBORNEMP,TOT,PC_FBORNPOP,2013,64
EU28,FBORNEMP,TOT,PC_FBORNPOP,2007,64.8
EU28,FBORNEMP,TOT,PC_FBORNPOP,2008,64.2
EU28,FBORNEMP,TOT,PC_FBORNPOP,2009,62
EU28,FBORNEMP,TOT,PC_FBORNPOP,2010,61.9
EU28,FBORNEMP,TOT,PC_FBORNPOP,2011,61.9
EU28,FBORNEMP,TOT,PC_FBORNPOP,2012,61.5
EU28,FBORNEMP,TOT,PC_FBORNPOP,2013,61.3
EU28,FBORNEMP,TOT,PC_FBORNPOP,2014,62.1
LVA,FBORNEMP,TOT,PC_FBORNPOP,2017,66.6